nýtsluland;1993 Alt árið;1994 Alt árið;1995 Alt árið;1996 Alt árið;1997 Alt árið;1998 Alt árið;1999 Alt árið;2000 Alt árið;2001 Alt árið;2002 Alt árið;2003 Alt árið;2004 Alt árið;2005 Alt árið;2006 Alt árið;2007 Alt árið;2008 Alt árið;2009 Alt árið;2010 Alt árið;2011 Alt árið;2012 Alt árið;2013 Alt árið;2014 Alt árið;2015 Alt árið;2016 Alt árið;2017 Alt árið;2018 Alt árið;2019 Alt árið;2020 Alt árið;2021 Alt árið;2022 Alt árið
Gabon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1716.1;0.0;0.0;0.0;0.0;472.5;0.0;0.0;0.0;1005.6
Gambia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;707.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Gana;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5600.0;0.0;0.0;0.0;104.4;30124.3;26525.5;9228.2;22861.8;13800.1;6149.2;13400.7;9084.6;47734.5;34354.3;34295.5
Georgia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;562.5;0.0;1006.2;1415.0;0.0;1087.2;3068.9;2221.7;1401.7;7006.9;3222.2;2595.6;4359.2;3491.4
Gibraltar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;962.5;0.0;0.0;0.0;1193.9;0.0;23.3;1119.1;0.0;604.7;0.0;0.0;2230.9;0.0;1766.5;0.0;177.5;1985.5;88.6;365.3;1942.9
Grikkaland;10555.4;11936.6;5770.7;602.3;2633.0;6535.8;6222.0;7857.6;13378.3;18473.9;7738.0;25301.2;53086.8;52827.5;50714.9;72787.1;9827.3;56671.2;19097.2;30052.1;28253.0;15667.2;5133.2;6346.9;35002.2;34522.4;2329.0;10755.6;12031.0;7706.6
Grønland;2893.1;5224.0;4708.2;9354.0;1333.6;55478.6;26526.6;174933.8;58016.1;59053.5;490.9;6898.4;11415.7;26572.9;94457.4;33722.5;19793.9;23450.2;30728.0;37131.8;35262.9;39822.5;35799.4;35206.4;58076.6;56832.6;63885.3;194396.1;84623.7;121130.0
Guatemala;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;291.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Guinea;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Hong Kong;5482.0;539.8;184.4;511.9;885.2;0.0;626.1;3031.6;2075.8;5293.9;1773.0;176.5;0.0;578.3;0.0;0.0;3100.2;1141.1;2246.4;1941.2;1984.6;5915.1;941.0;3213.4;4084.6;517.1;2315.6;3090.0;3849.1;1180.6
Hvítarussland;0.0;0.0;0.0;143.7;0.0;0.0;0.0;2936.8;0.0;0.0;2191.8;1251.6;20472.5;14828.2;4599.0;18121.3;6319.7;5356.9;2767.8;3061.4;0.0;0.0;1528.1;18546.3;40145.3;17653.1;49657.1;42219.2;145307.6;203313.2
India;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3185.6;0.0;0.0;0.0;0.0;228.3;1012.2;36.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Indonesia;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;142.7;0.0;0.0;0.0;0.0;362.2;0.0;0.0;58.4;7144.8;9773.3;0.0;1047.6;442.7;2351.6;0.0;0.0;0.0;3.0
Italia;106034.5;118445.6;101753.4;76032.2;64586.8;86824.5;100334.8;107533.4;138455.5;174905.0;124218.2;132514.0;98936.2;98954.0;81547.7;120051.8;130276.7;153538.7;156451.5;172397.2;168434.5;174157.1;267948.0;237124.7;292545.7;336031.1;371201.6;286988.1;341684.1;366361.0
Írland;1446.0;0.0;2025.6;3293.3;7049.6;2666.0;5983.0;7831.2;908.6;1989.9;3942.2;6258.3;3395.2;13301.6;9922.0;22785.6;4104.3;4552.9;577.8;2477.1;7470.8;8602.0;5051.6;3938.2;2365.9;10656.8;2717.9;47059.1;13606.4;13798.9
Ísland;4595.1;4240.9;54264.5;42767.7;59966.8;89618.0;40683.8;65216.4;53487.4;44950.3;110165.3;186591.0;65037.1;105141.1;116915.1;103355.3;59095.7;76990.5;346390.8;347346.5;79579.2;76717.1;143040.3;213811.7;128023.7;143014.0;138084.9;178399.3;73137.1;359015.2
Ísrael;8031.9;0.0;0.0;220.6;995.5;321.0;121.5;123.6;0.0;0.0;208.7;179.5;127.9;542.8;557.5;0.0;87.9;359.6;174.5;1121.9;0.0;0.0;0.0;0.0;126.6;0.0;0.0;164.0;270.5;100121.4
Jamaika;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;385.1;344.2;0.0;429.9;4408.8;0.0;0.0;0.0;0.0;1657.5;0.0;0.0;428.4;662.0;0.0;0.0;0.0;209.5;0.0;0.0
Japan;55118.9;55417.0;76593.5;91335.5;51245.7;43751.5;85040.3;84570.9;107469.6;170843.8;158814.3;145452.4;125812.6;129097.3;118746.2;107323.2;54476.3;53346.5;35904.7;35540.0;57268.0;43284.6;60562.2;40172.6;60027.1;51630.9;78093.4;46428.3;32133.0;39862.5
Kabo Verdi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3091.2;0.0;0.0;0.0;0.0;251.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Kamerun;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.1;0.0;0.0;0.0;0.0;4115.4;0.0;0.0;0.0;0.0;0.0;16079.4;0.0;2288.4;781.2;0.0
Kanada;35193.7;1955.7;21726.2;7624.3;32187.8;26285.0;53956.3;91473.1;90258.0;81565.7;107463.0;18189.5;70474.6;60460.8;37732.1;30985.1;38611.3;42974.0;51483.8;52121.1;40196.3;35608.9;46113.5;37720.1;32536.3;55644.0;22688.1;26314.4;55302.3;157083.9
Kasakstan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1662.2;2357.0;0.0;0.0;0.0;0.0;714.9;0.0;0.0;0.0;0.0;0.0;0.0;974.2
Kekkia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.9;0.0;0.0;0.0;0.0;0.0;0.0;3.1;0.0;373.8;225.8;7765.7
Kenja;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.6;44.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;589.3;0.0;0.0;0.0;0.0
Kili;6335.0;0.0;0.0;0.0;0.0;0.0;6623.6;2924.2;1160.5;0.0;15.4;0.0;0.0;0.0;6752.6;105071.4;1691.8;149.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Kina;0.0;0.0;0.0;4882.5;3402.4;1928.4;8935.9;22458.1;47783.0;22975.3;51489.0;42927.7;76272.5;78366.8;57365.1;21695.7;97036.5;63613.2;102244.1;197905.7;405359.9;388644.1;330219.5;568912.7;460106.2;644247.7;845125.7;319159.2;447094.1;606858.7
Kirgisia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;473.7;1392.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Kongo, Dem. Lýðveldið;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;165.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.5;204.2;256.6
Kosta Rika;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;269.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Kroatia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;490.0;800.0;0.0;0.0;0.0;0.0;0.0;196.9;0.0;218.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1443.0;818.8
Kuba;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11184.8;0.0;0.0;0.0;648.6;595.2;0.0;0.0;0.0;0.0;0.0;633.1;0.0;0.0;0.0
Kuvait;0.0;0.0;0.0;0.0;0.0;1222.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.3;277.1;422.5;2716.6;138.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Kýpros;6902.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.8;0.0;0.0;0.0;441.7;246.4;681.7;87424.8;1508.2;4913.1;5507.2;7287.0;607.4;0.0;0.0;118.1;0.0;1847.0;848.2;1730.2;3273.1;7222.6
Lettland;0.0;0.0;0.0;2463.7;6784.8;0.0;0.0;16710.9;8.0;0.0;108.0;149.3;446.0;18182.8;1293.0;1415.7;2187.7;1708.8;2273.2;1091.3;78.2;141.6;220.4;306.5;2405.9;9191.1;12489.2;14463.5;2229.6;36129.5
